opis,w_energia,w_parowania,w_sklad,w_sklad_zasad,w_sklad_par,najlepsza_epoka,zbal_par,zbal_zas,ident_nt,CE_val,dE_nt
nic (sama CE),0.0,0.0,0.0,0.0,0.0,24,0.3451,0.2784,0.2803,1.4956,0.0112
same parowania,0.0,6.0,0.0,0.0,0.0,22,0.3439,0.2735,0.2785,1.5333,0.0
sama energia,1.0,0.0,0.0,0.0,0.0,17,0.3431,0.2779,0.281,1.4963,-0.0501
parowania 12,1.0,12.0,1.0,0.0,0.0,15,0.342,0.2721,0.2792,1.5064,-0.0569
sklad 0,1.0,6.0,0.0,0.0,0.0,20,0.3416,0.2723,0.2801,1.5474,-0.0553
parowania 6  (obecne),1.0,6.0,1.0,0.0,0.0,1,0.3398,0.2477,0.2664,1.5697,-0.0828
sam sklad TV,0.0,0.0,1.0,0.0,0.0,16,0.3398,0.2723,0.2787,1.4974,-0.0481
kara promotora,1.0,6.0,0.0,1.0,1.0,20,0.3393,0.2731,0.2798,1.5413,-0.0777
parowania 1,1.0,1.0,1.0,0.0,0.0,2,0.3392,0.253,0.2683,1.6001,-0.0692
parowania 3,1.0,3.0,1.0,0.0,0.0,2,0.3392,0.2532,0.2687,1.6102,-0.0708
parowania 0,1.0,0.0,1.0,0.0,0.0,18,0.339,0.274,0.2794,1.5001,-0.0556
sklad 3,1.0,6.0,3.0,0.0,0.0,2,0.3371,0.2465,0.2643,1.5545,-0.0704
sklad 10,1.0,6.0,10.0,0.0,0.0,22,0.3358,0.2463,0.2653,1.5113,-0.0536
