konf,seed,zbal_par,zbal_zas,ce,dE
CE   bez kar,0,34.2,27.71,1.499,-0.0142
CE   bez kar,1,34.16,27.55,1.4849,-0.0296
CE   bez kar,2,34.82,27.95,1.5869,-0.0241
CEW  wazona CE,0,35.03,27.85,1.6866,0.0954
CEW  wazona CE,1,35.38,28.0,1.8489,0.0764
CEW  wazona CE,2,35.07,28.0,1.7622,0.079
E1   kara TV,0,33.83,27.3,1.5076,-0.0689
E1   kara TV,1,33.76,27.1,1.4962,-0.0649
E1   kara TV,2,33.650000000000006,27.650000000000002,1.5654,-0.076
E1W  TV + wazona CE,0,34.47,27.35,1.5273,-0.0271
E1W  TV + wazona CE,1,34.38,27.04,1.5011,-0.0171
E1W  TV + wazona CE,2,35.07,27.52,1.8518,-0.0501
